Found 100:
PL!S-PR-013-PR | 高海千歌 | cost=11 | blade=3
PL!S-PR-016-PR | 黒澤ダイヤ | cost=9 | blade=3
PL!S-PR-019-PR | 国木田花丸 | cost=11 | blade=3
PL!S-PR-020-PR | 小原鞠莉 | cost=9 | blade=3
PL!S-PR-021-PR | 黒澤ルビィ | cost=9 | blade=3
PL!S-PR-028-PR | 黒澤ダイヤ | cost=4 | blade=1
PL!S-PR-029-PR | 渡辺 曜 | cost=9 | blade=3
PL!S-PR-030-PR | 津島善子 | cost=9 | blade=3
PL!S-PR-031-PR | 国木田花丸 | cost=9 | blade=3
PL!S-PR-032-PR | 小原鞠莉 | cost=4 | blade=1
PL!S-PR-033-PR | 黒澤ルビィ | cost=4 | blade=1
PL!S-PR-040-PR | 国木田花丸 | cost=9 | blade=4
PL!S-bp2-001-R | 高海千歌 | cost=9 | blade=4
PL!S-bp2-001-P | 高海千歌 | cost=9 | blade=4
PL!S-bp2-002-R | 桜内梨子 | cost=4 | blade=None
PL!S-bp2-002-P | 桜内梨子 | cost=4 | blade=None
PL!S-bp2-003-R | 松浦果南 | cost=9 | blade=4
PL!S-bp2-003-P | 松浦果南 | cost=9 | blade=4
PL!S-bp2-004-R | 黒澤ダイヤ | cost=11 | blade=3
PL!S-bp2-004-P | 黒澤ダイヤ | cost=11 | blade=3
PL!S-bp2-007-R＋ | 国木田花丸 | cost=4 | blade=3
PL!S-bp2-007-P | 国木田花丸 | cost=4 | blade=3
PL!S-bp2-007-P＋ | 国木田花丸 | cost=4 | blade=3
PL!S-bp2-007-SEC | 国木田花丸 | cost=4 | blade=3
PL!S-bp2-008-R＋ | 小原鞠莉 | cost=17 | blade=4
PL!S-bp2-008-P | 小原鞠莉 | cost=17 | blade=4
PL!S-bp2-008-P＋ | 小原鞠莉 | cost=17 | blade=4
PL!S-bp2-008-SEC | 小原鞠莉 | cost=17 | blade=4
PL!S-bp2-013-N | 黒澤ダイヤ | cost=9 | blade=3
PL!S-bp2-018-N | 黒澤ルビィ | cost=9 | blade=3
LL-bp2-001-R＋ | 渡辺 曜&鬼塚夏美&大沢瑠璃乃 | cost=20 | blade=6
PL!S-pb1-002-R | 桜内梨子 | cost=13 | blade=5
PL!S-pb1-002-P＋ | 桜内梨子 | cost=13 | blade=5
PL!S-pb1-006-R | 津島善子 | cost=9 | blade=1
PL!S-pb1-006-P＋ | 津島善子 | cost=9 | blade=1
PL!S-pb1-007-R | 国木田花丸 | cost=9 | blade=2
