Total new cards: 98

PL!-PR-018-PR: 東條 希 | type=メンバー | product=PRカード | ability=YES
PL!HS-PR-031-PR: 日野下花帆 | type=メンバー | product=PRカード | ability=YES
PL!HS-PR-032-PR: セラス 柳田 リリエンフェルト | type=メンバー | product=PRカード | ability=YES
PL!N-PR-026-PR: 天王寺璃奈 | type=メンバー | product=PRカード | ability=YES
PL!N-PR-027-PR: 朝香果林 | type=メンバー | product=PRカード | ability=YES
PL!N-PR-028-PR: 宮下 愛 | type=メンバー | product=PRカード | ability=YES
PL!N-PR-029-PR＋: 宮下 愛 | type=エネルギー | product=PRカード | ability=no
PL!S-PR-042-PR: 小原鞠莉 | type=メンバー | product=PRカード | ability=YES
PL!SP-PR-021-PR: 澁谷かのん | type=メンバー | product=PRカード | ability=YES
PL!SP-PR-022-PR: 若菜四季 | type=メンバー | product=PRカード | ability=YES
PL!HS-bp2-022-L＋: アオクハルカ | type=ライブ | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-bp2-024-L＋: レディバグ | type=ライブ | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-bp2-026-L＋: みらくりえーしょん | type=ライブ | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-001-P＋: 日野下花帆 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-001-R: 日野下花帆 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-002-P＋: 村野さやか | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-002-R: 村野さやか | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-003-P＋: 大沢瑠璃乃 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-003-R: 大沢瑠璃乃 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-004-P＋: 百生吟子 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-004-R: 百生吟子 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-005-P＋: 徒町小鈴 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-005-R: 徒町小鈴 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-006-P＋: 安養寺姫芽 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-006-R: 安養寺姫芽 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-007-P＋: セラス 柳田 リリエンフェルト | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-007-R: セラス 柳田 リリエンフェルト | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-008-P＋: 桂城 泉 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-008-R: 桂城 泉 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-009-P＋: 日野下花帆 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-009-R: 日野下花帆 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-010-P＋: 村野さやか | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-010-R: 村野さやか | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
